external_id,active,address,activation_date,number_arc,type_arc,district,carpet,lat,long,id,owner,operator
w3251,,"улица Дмитрия Ульянова, 17",,1,,,,55.684039,37.583219,6375,whoosh,ultradop
w3252,,"улица Дмитря Ульянова, 26к1",,1,,,,55.685867,37.577854,6376,whoosh,ultradop
w3253,,"улица Ташкентская, 16к1",,1,,,,55.702915,37.814689,6377,whoosh,ultradop
w3254,,"улица Ставропольская, 82 через дорогу",,1,,,,55.676402,37.795327,6378,whoosh,ultradop
w3255,,"улица Перерва, 1с8",,1,,,,55.674541,37.789342,6379,whoosh,ultradop
w3256,,"улица Перерва, 73с5",,1,,,,55.673805,37.786818,6380,whoosh,ultradop
w3257,,"улица Перерва, 1с6",,1,,,,55.672158,37.78216,6381,whoosh,ultradop
w3258,,"улица Краснодарская, 66",,1,,,,55.674479,37.774602,6382,whoosh,ultradop
w3259,,"улица Цимлянская, 24",,1,,,,55.669564,37.769324,6383,whoosh,ultradop
w3260,,"улица Перерва, 61Ас1",,1,,,,55.666252,37.766402,6384,whoosh,ultradop
w3261,,"улица Орджоникидзе, 11с1",,1,,,,55.709903,37.597329,6385,whoosh,ultradop
w3262,,"5-й Донской проезд, 15с3",,1,,,,55.708322,37.599428,6386,whoosh,ultradop
w3263,,"5-й Донской проезд, 5",,1,,,,55.709564,37.600434,6387,whoosh,ultradop
w3264,,"улица Верхние Поля, вл27А",,1,,,,55.667048,37.754325,6388,whoosh,ultradop
w3265,,"Дмитровское шоссе, 60А",,1,,,,55.852617,37.568473,6389,whoosh,ultradop
w3266,,"Дмитровское шоссе, 60А",,1,,,,55.852617,37.568473,6390,whoosh,ultradop
w3267,,"Задонский проезд, 64к1",,1,,,,55.623172,37.75609,6391,whoosh,ultradop
w3268,,"Задонский проезд, 40/73",,1,,,,55.620662,37.761482,6392,whoosh,ultradop
w3269,,"Ореховый бульвар, 63",,1,,,,55.616941,37.759698,6393,whoosh,ultradop
w3270,,"Ореховый бульвар, 57",,1,,,,55.61505,37.754848,6394,whoosh,ultradop
w3271,,"улица Белореченская, 43 через дорогу",,1,,,,55.662262,37.772793,6395,whoosh,ultradop
w3272,,"улица Марьинский Парк, 13",,1,,,,55.659841,37.77908,6396,whoosh,ultradop
w3273,,"улица Марьинский парк, 3к1",,1,,,,55.655563,37.777571,6397,whoosh,ultradop
w3274,,"Первенский бульвар, 1",,1,,,,55.653551,37.775533,6398,whoosh,ultradop
w3275,,"Перервенский бульвар, 14к1",,1,,,,55.656531,37.769514,6399,whoosh,ultradop
w3276,,"улица Новомарьинская, 28",,1,,,,55.657979,37.767479,6400,whoosh,ultradop
w3277,,"улица Мусы Джалиля, 31к1",,1,,,,55.61547,37.745301,6401,whoosh,ultradop
w3278,,"улица Мусы Джалиля, 27к3",,1,,,,55.617659,37.743869,6402,whoosh,ultradop
w3279,,"улица Перерва, 45к1",,1,,,,55.660617,37.748234,6403,whoosh,ultradop
w3280,,"улица Верхние Поля, 3с2",,1,,,,55.664502,37.746761,6404,whoosh,ultradop
w3281,,"Электрозаводская улица, 33с4",,1,,,,55.793361,37.707804,6405,whoosh,ultradop
w3282,,"Электрозаводская улица, 33с4",,1,,,,55.793361,37.707804,6406,whoosh,ultradop
w3283,,"Яузская аллея, 8 через дорогу",,1,,,,55.828997,37.701278,6407,whoosh,ultradop
w3284,,"улица Мусы Джалиля, 28к1",,1,,,,55.620041,37.74318,6408,whoosh,ultradop
w3285,,"улица Мусы Джалиля, 26к1",,1,,,,55.621515,37.742965,6409,whoosh,ultradop
w3286,,"улица Мусы Джалиля, 20",,1,,,,55.623353,37.742634,6410,whoosh,ultradop
w3287,,"Ореховый презд, 8к4",,1,,,,55.626598,37.7359,6411,whoosh,ultradop
w3288,,"Ореховый презд, 15",,1,,,,55.624705,37.732306,6412,whoosh,ultradop
w3289,,"Борисовский презд, 11А",,1,,,,55.62608,37.721364,6413,whoosh,ultradop
w3290,,"борисовский презд, 3к1",,1,,,,55.625205,37.714825,6414,whoosh,ultradop
w3291,,"улица Генерала Белова, 1/8",,1,,,,55.624374,37.715721,6415,whoosh,ultradop
w3292,,"улица Генерала Белова, 17с1",,1,,,,55.620537,37.717699,6416,whoosh,ultradop
w3293,,"улица Воейкова, 24",,1,,,,55.669028,37.508125,6417,whoosh,ultradop
w3294,,"улица Семенова Тян Шанского, 47",,1,,,,55.673367,37.50724,6418,whoosh,ultradop
w3295,,"улица Семенова Тян Шанского, 31А",,1,,,,55.673582,37.506987,6419,whoosh,ultradop
w3296,,"Светлогорский проезд, 49 через дорогу",,1,,,,55.849677,37.402842,6420,whoosh,ultradop
w3297,,"улица Лосиноостровская, 40к2",,1,,,,55.825789,37.7288,6421,whoosh,ultradop
w3298,,"улица Лосиноостровская, 49",,1,,,,55.826989,37.726073,6422,whoosh,ultradop
w3299,,"улица Лосиноостровска, 31к1",,1,,,,55.826756,37.719951,6423,whoosh,ultradop
w3300,,"улица Тюменская, 6к9",,1,,,,55.808977,37.731882,6424,whoosh,ultradop
w3301,,"улица Монтажная, 11к1",,1,,,,55.821691,37.762083,6425,whoosh,ultradop
w3302,,"1-й Иртышский презд, 6с1",,1,,,,55.812802,37.755106,6426,whoosh,ultradop
w3303,,"1-й Иртышский презд, 8с2",,1,,,,55.813526,37.756941,6427,whoosh,ultradop
w3304,,"улица Тагильская, 5 через дорогу",,1,,,,55.813296,37.760707,6428,whoosh,ultradop
w3305,,"улица Амурская, 14",,1,,,,55.808986,37.765068,6429,whoosh,ultradop
w3306,,"7-й презд Подбельского, 25А",,1,,,,55.816701,37.734622,6430,whoosh,ultradop
w3307,,"Погонный презд, 25Ас1",,1,,,,55.818632,37.715592,6431,whoosh,ultradop
w3308,,"улица Крылатские холмы, 43",,1,,,,55.761871,37.416102,6432,whoosh,ultradop
w3309,,"улица Крылатские Холмы, 53",,1,,,,55.764249,37.409868,6433,whoosh,ultradop
w3310,,"улица Осенняя, 4к1",,1,,,,55.757529,37.398251,6434,whoosh,ultradop
w3311,,"улица Осенняя, 8к1 через дорогу",,1,,,,55.760537,37.402497,6435,whoosh,ultradop
w3312,,"улица Крылатская, 8",,1,,,,55.757605,37.432585,6436,whoosh,ultradop
w3313,,"улица Крылатская, 8 через дорогу",,1,,,,55.757498,37.432253,6437,whoosh,ultradop
w3314,,"улица Крылатская, 7",,1,,,,55.754279,37.432682,6438,whoosh,ultradop
w3315,,"улица Крылатская, 5 через дорогу",,1,,,,55.754259,37.433024,6439,whoosh,ultradop
w3316,,"улица Ярцевская, 29к3",,1,,,,55.742773,37.418668,6440,whoosh,ultradop
w3317,,"улица Молодогвардейская, 14",,1,,,,55.733674,37.425302,6441,whoosh,ultradop
w3318,,"улица Горбунова, 2с7",,1,,,,55.722883,37.387798,6442,whoosh,ultradop
w3319,,"улица Запорожная, 2",,1,,,,55.723115,37.40531,6443,whoosh,ultradop
w3320,,"улица Кубинка, 10с8",,1,,,,55.721411,37.406844,6444,whoosh,ultradop
w3321,,"улица Кубинка, 18к1",,1,,,,55.721582,37.407324,6445,whoosh,ultradop
w3322,,"улица Кубинка, 43",,1,,,,55.717752,37.40836,6446,whoosh,ultradop
w3323,,"Можайчкое шоссе, 43/1",,1,Металлическая,,,55.717115,37.408465,6447,whoosh,ultradop
w3324,,"улица Ярцевская, 27к1",,1,,,,55.742006,37.417662,6448,whoosh,ultradop
w3325,,"улица Крылатская, 105coop2",,1,,,,55.744865,37.423108,6449,whoosh,ultradop
w3326,,"Рублевское шоссе, 28к1",,1,,,,55.745902,37.421539,6450,whoosh,ultradop
w3327,,"Рублевское шоссе, д30к1",,1,,,,55.747055,37.419482,6451,whoosh,ultradop
w3328,,"улица 3-я Гражданская, 47",,1,,,,55.810555,37.710307,6452,whoosh,ultradop
w3329,,"улица 3-я Гражданская, 54",,1,,,,55.810001,37.710903,6453,whoosh,ultradop
w3330,,"Проектируемый проезд 6476, 17с2",,1,,,,55.794798,37.728999,6454,whoosh,ultradop
w3331,,"улица 3-я черкизовская, 17с24",,1,,,,55.794581,37.718664,6455,whoosh,ultradop
w3332,,"улица Преображенский вал, 2к3",,1,,,,55.794487,37.714733,6456,whoosh,ultradop
w3333,,"Новый проезд, 24к3 через дорогу",,1,,,,55.790561,37.71588,6457,whoosh,ultradop
w3334,,"улица Суворовская, 2/1к1",,1,,,,55.788918,37.709871,6458,whoosh,ultradop
w3335,,"улица Промышленая, 8",,1,,,,55.63442,37.635268,6459,whoosh,ultradop
w3336,,"Тарный проезд, 11",,1,,,,55.637643,37.635956,6460,whoosh,ultradop
w3337,,"улица Дорожная, 99А 8",,1,,,,55.632123,37.621656,6461,whoosh,ultradop
w3338,,"Балакалавский проспект, 1",,1,,,,55.640624,37.617303,6462,whoosh,ultradop
w3339,,"Балаклавский проспект, 6А",,1,,,,55.641041,37.613832,6463,whoosh,ultradop
w3340,,"улица Чератновская, 12к3",,1,,,,55.637822,37.605455,6464,whoosh,ultradop
w3341,,"Лстановна НПГТ ""Дом № 8""",,1,,,,55.633032,37.59011,6465,whoosh,ultradop
w3342,,"Лстановна НПГТ ""Дом № 8""",,1,,,,55.633032,37.59011,6466,whoosh,ultradop
w3343,,"Булатниковский проезд, 10к1",,1,,,,55.588639,37.655591,6467,whoosh,ultradop
w3344,,"Булатниковский проезд, 1к1",,1,,,,55.592021,37.653593,6468,whoosh,ultradop
w3345,,"Булатниковский проезд, 19к1",,1,,,,55.575741,37.65989,6469,whoosh,ultradop
w3346,,"Востряковский проезд, 23к2 8",,1,Металлическая,,,55.57531,37.658128,6470,whoosh,ultradop
w3347,,"Остановка НПГТ ""Улица Подольских Курсантов, 26""",,1,,,,55.593899,37.635962,6471,whoosh,ultradop
w3348,,"Остановка НПГТ ""Покровское кладбище""",,1,,,,55.596899,37.636455,6472,whoosh,ultradop
w3349,,"улица Подольских Курсантов, 18",,1,,,,55.603268,37.635526,6473,whoosh,ultradop
w3350,,"улица Батюнинская, 1",,1,,,,55.657696,37.708642,6474,whoosh,ultradop
w3351,,"улица Шоссейная, 80с4",,1,,,,55.67124,37.718046,6475,whoosh,ultradop
w3352,,"улица Шоссейная, 58к1",,1,,,,55.677044,37.722655,6476,whoosh,ultradop
w3353,,"улица Краснодарская, 25/18",,1,,,,55.677825,37.752716,6477,whoosh,ultradop
w3354,,"улица Мариупольская, 4",,1,,,,55.674612,37.742366,6478,whoosh,ultradop
w3355,,"1-й Курьяновский проезд, 9",,1,,,,55.655085,37.702203,6479,whoosh,ultradop
w3356,,"улица Ясеневская, 23к1",,1,,,,55.603955,37.733854,6480,whoosh,ultradop
w3357,,"улица Ясеневская, 24с1",,1,,,,55.612584,37.744405,6481,whoosh,ultradop
w3358,,"улица Ясеневская, 24с1",,1,,,,55.613106,37.744672,6482,whoosh,ultradop
w3359,,Станция метро Красногврдейская (вых. 2),,1,,,,55.614213,37.74627,6483,whoosh,ultradop
w3360,,"улица Кустанайская, 10к1",,1,,,,55.618551,37.753562,6484,whoosh,ultradop
w3361,,"улица Кустанайская, 11к1",,1,,,,55.616493,37.75314,6485,whoosh,ultradop
w3362,,"улица Мусы Джалиля, 8к1",,1,,,,55.626938,37.742098,6486,whoosh,ultradop
w3363,,"улица Мусы Джалиля, 4к6",,1,,,,55.62868,37.741792,6487,whoosh,ultradop
w3364,,"улица 1-я фрезерная, 2/1с17",,1,,,,55.743135,37.741969,6488,whoosh,ultradop
